,NPS
41463,0
1280,0
49124,0
27598,0
44125,0
49970,0
50727,0
9561,0
4123,0
63529,0
75746,0
21180,0
40232,0
46845,0
32082,0
65663,1
54008,0
26223,1
28761,0
30315,0
17444,1
67144,0
74902,0
7731,0
44463,1
62757,0
50792,0
11698,0
55171,0
55623,0
50482,1
8748,0
32263,0
33112,0
70235,0
6686,0
76819,0
75150,0
21113,0
61997,0
84723,0
74966,0
38827,0
79986,0
83398,0
67626,0
55767,0
226,0
80527,0
56277,0
78543,0
65632,0
79884,0
62409,0
78842,0
31226,0
32151,0
7184,0
8026,0
23972,0
66419,0
3919,1
36109,0
13914,0
15364,0
47535,0
48784,0
46570,0
30704,0
26540,0
18093,0
11893,0
73416,0
2742,0
77873,0
48922,0
29273,0
65746,0
63541,0
13352,0
55892,0
26208,0
7817,1
37551,1
54061,0
22868,1
47620,0
47735,0
72582,0
1886,0
64440,0
73084,0
70692,0
74626,0
50399,0
74346,0
15434,0
44895,0
21719,0
69820,1
9710,0
56675,0
54105,0
15973,0
39682,0
11581,0
33641,0
46663,0
57654,0
74371,0
65818,0
88508,0
87831,0
35030,0
16419,0
21081,0
72180,0
57892,0
51174,0
42118,0
75590,0
88321,0
29334,0
55419,0
7801,0
68205,0
43218,0
64963,0
57410,0
55813,0
23802,0
39336,0
49906,0
83848,0
27092,0
60412,0
64347,1
49393,0
83802,0
82112,0
3415,0
61535,0
71434,0
71829,0
69985,0
69968,0
61162,0
52641,0
33905,0
42727,0
86127,1
78800,0
23959,0
18753,0
36833,0
32363,0
41799,0
61139,0
43707,0
60593,0
73898,0
41974,0
56677,1
73574,0
48227,0
8958,0
78826,0
72875,1
68059,0
56700,0
67100,0
37518,0
16950,0
26493,0
70325,1
4431,1
72117,0
40718,0
17517,0
18242,0
74567,1
48739,0
73670,0
28388,0
31185,0
54065,0
54957,0
71938,0
39027,0
62816,0
25905,0
56329,0
24170,0
10232,0
65882,0
88320,0
81852,0
34434,0
56187,0
12373,0
25068,1
8384,0
82258,0
75566,0
43269,0
53170,0
54189,0
27600,1
31079,1
66846,1
25433,0
27375,1
18315,0
85404,0
19758,0
80993,0
72952,0
33612,0
41638,0
6570,0
13295,0
66030,1
53129,0
5716,0
87192,0
74912,0
10459,0
37247,0
29870,1
5739,0
29608,0
13864,0
10907,0
37832,0
71683,1
85420,0
85585,0
88254,1
33164,0
19261,0
29233,0
43174,0
11176,0
2023,0
50967,1
48768,0
20899,1
632,0
16916,0
52540,0
15568,0
6269,1
56660,0
74903,0
57189,0
57730,0
11867,0
68815,0
56776,0
43333,1
57987,0
48851,0
75416,0
11991,0
8148,0
71842,0
43028,0
10802,0
8801,0
21625,0
67256,0
5116,1
84590,0
66382,0
53839,0
51980,0
53892,0
57038,1
65930,0
52662,0
17377,0
75060,0
28350,0
23292,1
58998,0
87604,1
37500,0
29643,0
13304,0
25224,0
78295,0
40991,0
48976,0
79192,1
54495,1
56407,0
17037,0
36612,0
85943,1
66063,0
71969,0
30322,0
82927,0
14672,0
52070,0
5585,0
60010,0
68559,0
41929,0
38153,0
36499,0
55103,0
14855,1
79528,1
26203,0
81220,0
60072,0
15781,0
38523,0
68239,0
65369,0
26090,0
68580,0
1242,0
88083,0
50619,0
69937,0
10162,0
21574,0
52613,0
23866,1
80466,0
46834,1
39083,0
38653,1
7513,0
9776,0
68814,1
19035,0
61723,0
24098,1
56918,0
30611,0
20634,0
6098,0
23429,1
52718,0
29217,0
82665,0
43869,1
6348,0
52249,0
82458,0
81109,0
69318,0
73458,1
6184,0
25007,0
61522,0
19390,0
74648,1
78377,0
13949,0
83008,0
5406,1
35187,0
262,0
9434,0
88515,0
53497,0
81463,1
19076,0
69338,0
1368,0
19766,1
83214,0
48375,0
62026,0
5561,0
85986,0
75906,0
19929,0
77679,0
62370,1
82711,0
65764,0
70750,0
55847,1
79185,0
51316,1
87640,0
4019,0
72486,0
48283,0
39412,1
66407,0
17815,0
42796,0
20034,0
62335,0
67114,1
65831,0
18494,0
41554,0
9415,0
80753,0
84283,1
65759,0
19486,0
37131,0
31698,0
13330,0
6743,0
72538,0
45457,0
64350,0
61067,0
5322,0
50770,1
55697,0
19513,0
21703,0
18007,1
12219,0
21034,0
43396,0
46359,0
27370,0
7012,0
78619,1
4619,0
28528,0
35957,0
850,0
28354,0
68648,0
69912,0
23330,0
24577,0
56641,0
19278,0
21166,0
73131,0
13711,0
10410,0
56113,0
76343,0
73211,0
81745,0
33499,0
21801,0
14065,0
82037,0
13167,0
63086,1
53403,0
51735,0
49971,0
55262,0
81314,0
54375,0
66740,0
60140,1
44355,0
7354,0
69821,0
28988,0
84650,0
32073,0
8431,0
42691,0
46234,0
22585,1
66425,0
65829,1
78010,0
23371,0
39448,0
51368,0
75748,0
35719,0
11849,0
27325,0
69152,1
13853,0
49164,1
46477,0
61202,1
77814,0
82254,1
5774,0
16267,0
74536,0
8580,0
63032,0
13902,1
63987,0
15936,0
52247,0
34952,0
30628,0
50269,0
10565,0
77046,0
82772,0
83072,0
80107,0
45186,0
37107,0
55868,0
41096,0
53591,0
56696,0
66133,0
77647,1
7535,0
39975,1
47953,0
27727,0
38015,0
69093,0
25197,0
19335,0
36716,0
88535,0
42551,1
62092,1
85704,0
85997,1
28399,0
15525,1
14284,0
43711,0
10126,0
11527,0
56454,0
61120,0
2904,0
56364,0
45814,1
40649,0
41444,0
22692,1
87319,0
38851,0
38090,1
43894,1
41840,0
73198,0
57530,0
12469,0
70781,0
61182,0
33056,0
15016,0
52158,0
85760,0
35886,0
19312,0
62668,0
40362,0
4255,1
63356,1
2233,0
72666,0
86852,0
9137,1
55385,0
14671,0
73704,0
24330,1
5678,0
12295,0
18228,0
65316,0
37994,0
48362,0
48338,1
29478,0
72266,0
28636,0
63038,0
5853,1
41753,1
69041,0
61536,1
81809,0
38352,0
4668,0
58626,0
2706,0
58603,0
16514,0
3184,0
30403,0
60401,0
889,1
74926,0
9346,0
47619,0
13742,0
33401,0
11965,1
60596,0
22321,1
31072,1
6493,0
44359,0
57680,0
54521,0
29571,0
85624,0
88337,0
17574,0
83839,0
87893,0
86242,0
45477,0
82656,1
85256,0
3989,1
79401,1
10543,0
8201,0
38099,0
79273,0
29221,0
84745,0
15008,1
35554,1
9333,0
32768,0
58197,0
18557,1
77043,0
22495,0
3610,0
12552,0
66098,0
11817,0
33163,0
83209,0
17642,0
10866,0
60278,1
78755,0
62777,0
42469,0
60148,0
60332,0
39186,0
77455,0
47015,0
9763,0
49321,0
1854,0
14915,0
13534,0
65592,0
37505,0
8913,0
57293,0
82832,0
39120,1
8426,1
47284,0
54054,0
87413,0
84212,0
17588,0
63223,0
58747,0
80922,0
57270,0
57615,0
33802,0
32558,0
70188,0
67663,0
79753,0
34566,0
74601,0
87490,1
22568,1
75658,0
44840,0
42966,0
63185,0
49883,0
46185,1
20312,0
72682,0
59898,0
87875,0
3511,1
4278,0
62033,1
10921,0
29447,0
67195,0
23445,0
41250,0
3539,1
66842,0
33374,0
38530,1
54713,1
45377,0
40622,0
23530,0
23474,0
665,1
13453,0
50047,0
852,0
40081,0
58279,0
20489,0
42505,1
29527,0
9451,1
74118,1
73834,0
10864,0
84266,0
68908,1
1444,0
59972,0
19748,0
18394,0
75887,0
26979,0
3181,0
14140,0
77240,0
25264,0
21726,0
26420,0
49926,0
23928,0
77551,0
19702,1
27992,0
24710,0
45967,0
11502,0
64639,0
77697,0
27976,1
39691,0
48258,0
71053,0
59254,0
36643,0
42374,0
82771,1
69115,0
11523,0
84901,0
68228,0
8378,0
12095,0
17579,0
11651,0
75537,0
25794,0
28597,0
41086,0
26350,0
69801,0
16958,1
55739,0
3131,1
72518,0
57331,0
19378,1
22466,0
77933,0
6297,1
43876,0
19677,0
49334,1
59280,0
21038,0
54908,0
21422,0
28771,0
12865,0
85211,0
16078,1
50294,0
52359,0
52210,0
82670,0
63778,0
60026,0
85768,0
50911,0
75989,0
13787,0
16309,0
33580,0
77190,1
32223,0
20313,0
26994,0
81243,0
25749,0
38338,0
33480,0
20814,0
81047,0
58828,0
49025,0
77975,0
63835,0
78163,0
44869,1
75799,0
20930,1
50262,0
64274,0
177,0
75525,0
29341,0
87424,1
5364,0
24530,0
2534,0
382,0
29190,0
73836,0
68591,1
80877,0
11712,0
59599,1
75807,0
20436,0
40125,1
65132,0
70473,0
37532,0
44728,0
59946,0
2427,0
2153,1
8594,0
48316,0
88428,0
9842,0
27756,0
87730,0
49652,0
35944,0
5303,1
53919,0
73114,0
5544,0
7923,1
29138,0
41747,1
49077,0
23121,0
86365,0
45855,1
11291,0
53649,0
4794,0
82057,0
71226,0
32678,0
35567,0
43562,0
42570,0
606,0
72942,0
72900,1
4912,0
7700,0
62535,0
71967,0
433,0
21109,0
24133,0
34866,1
66839,1
19040,1
6643,0
41901,0
42562,0
39239,0
24856,0
47060,0
57894,0
42071,0
66592,0
54472,0
51089,0
49709,0
24054,0
10854,0
22440,0
16166,0
51798,0
10556,0
67260,0
30544,0
74124,0
78822,0
2602,0
23880,1
12510,1
31306,0
9149,0
60555,0
11858,0
36358,0
51141,0
63265,0
51591,0
77969,0
84767,0
9365,0
69530,0
64670,1
23118,0
27525,0
25073,0
35233,0
28406,0
39949,0
42945,0
71128,1
48653,0
11031,0
23592,0
22394,0
63853,0
18317,1
75242,0
63251,0
75991,0
74947,0
22476,0
74326,0
73157,0
55105,0
62589,1
57707,0
78443,0
19875,0
966,0
56036,0
72521,0
28148,0
15285,0
67408,0
46728,0
80232,0
40883,0
6811,1
21229,0
31706,0
65191,1
686,0
17024,0
50140,0
1526,0
16174,0
55597,0
67283,0
75591,0
78640,0
11917,0
60484,0
16996,1
762,0
83923,1
36321,0
79665,1
48429,0
84216,0
69142,0
38983,0
57352,0
17070,0
8380,0
48457,0
42150,0
72214,0
68562,0
11641,1
86577,0
27549,0
41176,1
54126,0
72655,1
81305,1
54711,1
16726,0
72181,0
81919,0
78007,0
34609,0
54742,0
15672,1
71966,0
57017,0
33325,0
7515,1
16302,0
63781,0
34366,0
2397,0
76696,0
83978,0
12180,0
10603,1
17168,0
32173,0
72913,0
39986,0
11594,1
55766,0
38531,1
75622,0
33740,0
23102,0
62427,0
12534,0
37752,0
37020,0
44155,0
80913,0
40256,0
43214,0
18388,0
6497,0
69418,1
1518,1
75284,0
79332,0
36151,0
80796,0
5024,0
61565,1
49295,0
9777,0
12768,0
13851,0
77928,0
9792,0
48334,0
73182,0
6689,0
50574,0
14508,0
85178,0
48900,1
12349,0
71300,0
71917,0
39264,0
27361,0
72211,0
46561,0
13331,0
49871,0
12276,0
47543,0
51527,1
15815,0
28420,0
2187,0
12985,1
11075,0
73702,0
68268,0
83176,0
62706,1
21076,0
49915,0
77606,0
9838,0
63994,0
2965,0
38002,0
11576,1
11768,0
81573,1
23462,0
43683,0
36584,0
47887,0
19401,0
64567,0
39951,0
61244,0
12628,0
20089,1
8679,0
65956,1
26018,0
83129,0
41036,0
69389,0
34489,0
30864,0
32637,0
1551,0
29340,0
43152,0
62203,0
69559,0
30701,0
22669,1
87938,0
760,0
38661,0
47625,0
22844,0
43183,0
44731,0
75391,0
36668,0
39892,1
46822,0
42529,0
31637,0
20761,0
37601,0
68614,0
28647,1
48688,0
60690,0
15687,0
40214,0
14692,0
86073,0
61399,1
1373,0
65012,0
63652,0
72022,1
84772,0
82474,0
12774,0
52636,0
14716,0
16029,0
26602,0
10007,0
11171,0
19510,0
79148,0
49515,0
21446,0
36304,0
56977,0
87074,0
4750,0
68992,0
33829,0
12919,1
45889,0
87173,1
25636,0
43380,0
84783,0
87795,0
49546,0
67603,1
5574,0
22340,0
3668,0
34526,0
53514,1
78062,0
83260,1
36520,1
45327,0
81417,1
75782,0
9083,0
74085,0
85576,0
9567,0
76745,0
39863,0
71171,0
75964,0
37387,0
59792,0
64663,0
58826,0
39074,0
84757,0
87134,0
81340,0
32344,0
14487,0
53233,0
45231,0
20589,0
33444,0
8176,0
28638,1
46718,0
63906,0
83032,0
46783,0
19643,0
29696,0
19783,0
4340,0
53599,0
6613,0
77695,0
27886,0
48206,0
5435,0
55664,0
64305,0
26075,0
35396,1
55713,0
42628,1
84800,0
12055,0
34810,0
45630,1
60038,0
81856,1
79514,0
856,0
47526,0
63062,1
79559,0
64097,0
27720,0
49397,0
15655,0
64119,0
23669,0
70524,0
25801,0
27409,0
41575,0
25040,0
84228,1
73437,0
36975,0
1534,1
10385,0
35951,0
10919,1
2537,0
38947,1
60639,1
87691,0
24477,0
82939,0
68396,0
21846,1
53125,0
18738,0
22033,0
51784,0
6877,1
16725,0
47322,0
63901,0
78554,0
12127,0
54426,0
84636,0
47242,1
35122,0
9668,0
19577,0
20407,0
14209,0
3571,0
82878,1
10445,0
51056,0
17730,0
34235,1
72695,0
7771,0
43130,1
85199,1
42008,0
33624,0
44326,0
10427,0
80672,0
22717,0
71701,0
76650,0
61283,1
69319,0
10140,0
21254,0
17261,0
52118,0
34736,0
36721,0
8029,0
37956,0
4508,0
6419,0
36104,1
60963,0
11868,0
41380,0
41736,0
12304,1
11262,0
55376,0
10163,0
22561,0
6247,0
11994,0
45086,0
43306,0
9878,0
37415,0
22246,0
75859,1
72752,0
83775,1
86103,0
62616,1
50840,0
58313,0
15878,1
54966,0
12084,0
13132,0
43064,0
61254,0
50015,0
23130,0
35361,0
435,1
79706,0
12341,0
78120,1
61497,0
55494,0
16810,0
17270,0
34710,0
51249,0
42127,0
12434,0
3719,1
37640,0
37602,0
11834,0
73378,0
9762,0
62502,1
83734,0
3648,0
59845,0
21526,0
69910,0
49659,0
84104,0
74510,0
9911,0
43860,0
26004,0
33997,1
44396,0
8968,0
81734,0
28452,0
87265,0
6530,0
65069,0
62587,0
40766,0
3441,0
83724,1
32900,0
23796,1
81775,0
75596,0
52970,0
81179,0
45275,1
13765,0
58310,1
63733,0
83026,1
12467,0
61727,0
56749,0
83289,0
32702,1
36059,1
5930,0
15502,1
77437,0
64013,0
49477,0
25235,0
13092,0
51717,0
12743,0
65154,0
29463,0
21008,0
18787,0
86106,0
9272,1
80622,0
20206,1
65411,0
41842,1
15102,1
69711,0
17551,0
47254,0
22232,0
52900,0
72113,0
62887,1
7024,0
1934,0
47862,0
1452,0
79955,0
75629,0
80227,0
27120,0
40317,1
31219,0
58567,0
36465,0
42710,0
76842,1
86074,0
39483,0
19169,0
67854,1
11898,1
10160,1
20415,0
9871,0
51945,0
64896,0
61604,0
1109,0
19430,0
47124,0
13059,0
9381,0
85081,0
48451,0
13064,0
30574,0
83333,0
36416,0
68573,0
76235,0
27318,0
30750,0
65677,0
43123,1
88302,0
74605,0
79924,0
7154,0
73841,0
73982,0
72064,0
45918,0
58422,0
87728,0
59159,0
63710,0
67115,1
4758,0
63898,0
63843,0
59542,0
43816,0
73798,0
58863,0
75421,0
76448,0
60452,0
31595,0
63459,0
27560,0
67687,0
69065,1
23765,0
66223,0
13943,0
86796,0
61881,0
45635,0
22261,0
19441,0
28983,0
10373,0
13772,0
76346,1
73523,1
52602,0
57090,0
65122,0
36194,0
71904,0
28317,0
15109,0
36564,0
34419,1
40847,1
86969,0
64121,0
15738,1
38358,0
43792,0
26273,0
56774,0
80011,0
14804,0
11160,0
65062,0
3302,0
8064,1
42124,0
44851,0
8753,0
24366,0
55209,0
4804,0
31894,1
71408,0
36773,0
45436,0
65357,0
35256,0
9412,0
22407,0
85658,0
20981,0
11222,1
25930,0
88641,0
23239,0
83773,0
15253,1
88543,0
38111,0
85446,1
34504,0
46801,0
57274,0
76713,1
34911,0
39108,1
59117,0
56708,0
40660,0
31685,0
25218,0
50394,0
60549,0
39590,0
26984,0
88662,0
5353,0
45532,0
52480,0
39361,0
27977,0
16733,0
49928,0
85412,1
51140,1
31887,0
67072,0
28678,0
26668,0
83195,0
79889,0
30885,1
4745,1
6368,0
9150,0
34214,0
70290,0
8439,0
53103,0
15156,0
60893,0
12364,0
24896,0
63693,0
15133,0
75183,0
21111,0
15802,0
18436,0
27673,0
9530,0
49583,0
88082,1
21530,0
67103,0
27151,0
52030,0
78015,0
34133,0
33004,1
83861,1
72883,0
16368,0
33268,0
86434,0
69682,0
17369,1
38139,0
44808,0
24500,0
50698,0
49976,0
27035,0
21117,0
46695,1
57618,0
87919,0
46317,0
25408,0
14310,0
81300,0
37554,0
71501,0
57214,0
81303,1
22084,0
34409,0
88529,0
36926,0
75651,0
31463,0
43537,1
81895,0
1103,0
31272,1
55378,0
24454,0
88456,0
85503,0
58490,0
45289,1
40189,0
68880,0
84637,0
47733,0
60822,0
61164,0
33492,0
3090,0
17498,0
1972,0
35977,0
41201,0
68478,0
31540,0
45983,0
36618,0
51978,0
37709,0
31855,0
76570,0
31979,0
14639,0
13490,0
5751,0
42314,0
79227,0
74397,0
39107,0
78854,0
46020,0
41630,0
53378,0
25425,0
73775,0
64115,0
17111,0
41411,0
5114,0
66459,0
80033,0
84603,0
81453,0
64327,0
67319,0
80565,0
39110,0
53158,0
54297,1
37436,0
50968,0
37263,0
77166,0
72101,0
85375,0
73340,0
65246,1
76735,1
79547,0
25607,0
47259,0
17519,0
49028,0
70390,0
68234,0
19034,0
40035,0
29952,0
79505,1
56333,0
66824,0
57126,1
8953,0
31749,0
21196,1
73299,0
27700,0
63,0
41856,0
78532,0
11271,0
7898,0
87641,0
71510,0
11675,0
74075,0
51058,0
26283,0
71082,0
54557,0
7294,0
34013,0
18866,0
86346,0
3606,1
62943,0
53156,0
55706,0
47642,0
77258,0
31005,0
77194,0
30317,0
49957,1
49134,0
88095,1
23931,0
65662,0
5970,0
62620,1
45506,0
13426,1
11315,1
30020,0
9507,0
74467,0
70239,0
40234,0
29397,0
15261,0
32294,0
15322,0
67483,0
56313,0
74742,0
24933,0
1372,0
58811,1
58469,0
37806,0
32579,0
19146,0
83151,0
21695,0
46194,0
38505,1
79132,0
19686,0
63852,0
46603,0
47803,0
79987,0
49182,0
40480,0
12096,1
51882,0
38307,0
69938,0
52384,0
80116,0
21051,0
41724,1
74665,0
82709,0
82096,1
39956,0
23537,0
20755,0
78168,0
55749,0
22249,0
2654,1
25174,0
46891,0
21455,0
19588,0
29385,1
44862,0
43664,0
85488,0
6169,0
3245,0
59399,0
61201,0
46779,0
36268,0
10347,0
4130,0
59823,0
69176,0
44954,0
9626,0
17952,0
78869,0
24623,1
28104,0
23543,1
25757,1
58006,1
17540,0
13525,0
55204,0
84653,0
47233,1
12842,0
10371,0
38949,0
38838,0
21163,0
70366,0
9328,0
56926,1
38649,0
26419,1
13357,0
53147,0
80509,0
74676,0
37831,0
68236,0
53924,0
79352,0
5005,0
8492,0
63941,1
33376,0
71037,0
57184,0
9426,0
45496,0
12839,0
85884,0
31779,1
82335,0
12290,1
31162,1
46365,0
6887,0
81563,0
79643,0
53333,0
18280,0
50742,0
26339,0
18572,0
22898,0
25356,0
29414,1
61895,0
13399,1
10487,0
3886,0
62538,0
6187,0
34499,0
78184,0
71692,0
73660,0
56544,1
77293,0
57037,1
18467,1
9018,0
77520,0
52206,0
2253,1
55332,1
82706,1
53772,1
22154,0
77502,0
49757,0
4653,1
72369,0
87033,0
47426,0
69250,0
43440,1
83536,1
22971,1
85661,0
28164,0
39565,0
55043,0
1709,0
14675,0
17486,0
36469,0
74570,1
77237,0
36341,0
78053,1
67969,0
55367,0
40078,1
36659,0
47663,0
32921,0
46826,0
13178,0
26447,0
44837,0
79709,0
15181,0
79819,0
58553,0
61784,0
880,0
9469,0
38953,0
55823,0
37068,0
88202,0
47976,0
29430,1
60927,0
15382,0
86264,0
85070,0
11757,0
1113,0
42523,0
34816,0
61407,0
21909,0
50855,1
51390,0
44933,0
72247,1
1801,1
84578,0
85619,0
26153,0
14038,0
25273,0
63476,0
82684,0
44676,0
54449,0
25429,0
55258,0
72866,1
58178,0
17017,0
10579,1
81690,0
66620,0
21074,1
49955,0
35017,0
54747,0
50617,0
2017,0
3360,0
54849,0
86830,0
10168,0
32023,0
68422,0
17687,0
63124,1
69714,0
64859,0
12320,0
82742,1
83256,0
20458,0
26637,0
79348,0
76211,0
4213,0
20557,1
1817,0
20894,1
73070,0
1302,0
26729,1
36801,0
28521,0
82981,0
80606,0
23853,0
86204,0
33468,0
83454,0
3325,0
32962,1
6439,0
26564,0
69339,1
62414,0
61851,0
60745,0
50034,0
1111,0
63209,0
28889,0
21257,0
47477,0
55428,0
81217,0
39014,0
40701,0
31270,0
73219,0
17869,0
36957,0
40671,0
85826,0
27021,0
31567,0
32972,0
16091,0
74437,0
61272,0
71914,0
62606,1
43502,0
53046,0
59094,0
65267,0
41556,1
76974,0
52388,0
21827,0
25032,0
87653,0
4487,0
13054,0
11013,0
26689,0
5776,0
48710,0
18662,0
68564,0
22599,1
35198,1
76514,0
39170,0
45148,1
22358,1
14446,0
43438,0
81851,0
86227,1
4769,0
75710,1
20506,0
44586,0
28315,0
76613,0
9360,0
67357,0
70260,0
5072,0
83787,0
80270,0
82018,0
67988,0
46597,0
50568,0
16791,0
76443,0
29472,0
78503,0
31584,0
36509,0
61030,0
47367,0
36635,0
14385,0
20704,0
32268,0
44757,0
29053,0
76305,0
69528,0
71999,1
38996,0
34679,0
23099,1
68036,0
34792,1
1899,0
32923,1
27221,1
21725,0
40739,0
56569,0
69258,0
7501,0
55632,0
22325,0
41314,0
59123,0
47488,0
78570,0
753,1
66896,1
44706,0
20811,0
17130,1
67099,0
67191,0
26256,0
37529,0
33130,0
43141,0
19211,0
35335,0
35393,0
46149,0
74434,0
15398,1
8684,0
66457,0
57700,0
11859,0
7747,0
38045,0
68576,0
50146,0
76044,0
86442,0
18602,0
48048,0
24750,0
86655,0
11317,0
55722,0
87189,0
68048,0
84236,1
1845,0
32982,0
87451,0
87321,0
34458,0
63831,1
4554,0
41220,0
52412,0
28975,1
55340,0
4957,0
14418,1
38773,0
85504,0
66405,0
54717,0
66291,0
5646,0
31145,0
28097,0
65570,0
68151,0
11358,0
40161,0
18179,0
60504,0
65684,1
81104,0
49731,0
20145,0
85304,0
5425,0
87260,0
36309,0
1672,0
74210,0
53499,0
33138,0
3305,0
56896,1
71005,0
22959,0
3032,0
54653,0
78441,0
35852,1
26576,0
41190,0
10134,0
18576,0
52564,0
62569,0
30026,0
